female,white,black,hisp,asian,married,age,collegeS,collegeM,collegeD,calc,books,mathLike,income,big5O,big5C,big5E,big5A,big5N,AMAS,BDI,MCS,GSES,vocabPre,mathPre,vocabPost,mathPost,MCSpost,mathGrp,mathSel,logAge,logBooks,logBDI
1,1,0,0,0,0,23,1,1,1,1,5,1,1,18,28,36,19,15,15,17,24,14,15,12,16,15,24,0,1,3.135494216,1.791759469,2.833213344
0,1,0,0,0,1,38,0,0,0,0,0,0,1,27,26,34,10,9,33,33,6,8,9,3,14,8,6,1,0,3.63758616,0,3.496507561
1,1,0,1,0,0,32,1,0,0,1,10,0,0,20,9,37,29,28,13,24,23,23,13,11,19,13,24,0,0,3.465735903,2.397895273,3.17805383
1,1,0,0,0,0,44,0,1,1,0,30,0,0,16,16,16,20,34,21,13,17,21,13,8,20,11,18,0,0,3.784189634,3.433987204,2.564949357
1,1,0,0,0,1,27,0,0,1,1,0,0,1,25,21,29,22,15,39,25,13,15,20,12,20,10,23,1,0,3.295836866,0,3.218875825
0,1,0,0,0,0,41,0,1,1,0,5,0,0,13,25,20,17,25,20,17,7,15,17,6,19,10,10,0,0,3.713572067,1.791759469,2.833213344
0,1,0,0,0,0,34,1,1,0,1,5,1,1,14,27,29,22,23,21,16,18,16,16,11,21,12,18,0,1,3.526360525,1.791759469,2.772588722
1,1,0,0,0,0,25,0,0,0,1,5,0,1,25,28,26,21,21,25,17,14,17,22,8,19,6,16,0,0,3.218875825,1.791759469,2.833213344
0,1,0,0,0,0,26,0,0,0,0,60,1,0,14,35,34,37,12,9,30,18,6,16,10,18,13,12,0,1,3.258096538,4.110873864,3.401197382
0,1,0,0,0,1,40,1,0,0,1,15,1,1,31,11,32,28,20,9,13,18,20,23,12,24,13,18,1,1,3.688879454,2.772588722,2.564949357
1,1,0,0,0,0,35,0,0,0,0,10,0,0,30,10,39,17,9,29,34,6,9,13,4,18,2,6,0,0,3.555348061,2.397895273,3.526360525
0,1,0,0,0,0,58,1,0,0,1,20,0,1,29,26,30,26,34,14,24,13,18,16,10,19,10,13,0,0,4.060443011,3.044522438,3.17805383
0,1,0,0,0,0,40,0,0,1,0,5,0,0,18,14,25,18,19,24,16,15,20,18,11,23,9,15,0,0,3.688879454,1.791759469,2.772588722
1,1,0,0,0,1,31,0,0,0,0,0,0,1,21,10,30,10,25,23,13,14,21,21,5,12,12,18,1,0,3.433987204,0,2.564949357
0,0,0,0,1,0,35,1,1,0,1,5,0,1,16,9,38,32,30,13,25,24,19,18,12,24,14,24,0,1,3.555348061,1.791759469,3.218875825
1,0,1,0,0,0,39,0,0,0,0,5,1,0,24,25,39,22,31,21,28,7,17,14,6,12,8,8,1,0,3.663561646,1.791759469,3.33220451
0,1,0,0,0,0,54,0,0,0,1,5,1,1,32,22,28,24,32,17,17,18,17,13,11,16,14,18,1,1,3.988984047,1.791759469,2.833213344
0,1,0,0,0,0,48,0,0,0,0,0,0,0,30,27,33,21,16,19,22,6,13,14,6,15,7,14,1,0,3.871201011,0,3.091042453
0,1,0,0,0,0,62,1,0,1,1,5,0,1,12,19,16,11,36,17,16,22,18,20,11,20,12,24,1,0,4.127134385,1.791759469,2.772588722
1,1,0,0,0,1,32,1,1,0,1,30,0,0,24,22,17,25,22,15,16,21,20,14,7,11,7,21,0,1,3.465735903,3.433987204,2.772588722
1,1,0,0,0,1,39,1,0,0,0,25,1,1,18,23,25,14,21,13,13,20,19,14,11,15,15,20,1,1,3.663561646,3.258096538,2.564949357
0,1,0,0,0,1,64,1,1,1,1,10,0,1,41,32,39,25,18,30,23,8,11,22,12,24,14,8,0,0,4.158883083,2.397895273,3.135494216
0,1,0,0,0,0,35,1,1,0,0,10,0,1,25,11,31,14,39,25,13,7,22,18,9,19,7,8,0,0,3.555348061,2.397895273,2.564949357
1,1,0,0,0,1,36,0,0,0,0,5,0,1,42,22,33,19,23,36,19,6,17,15,8,17,11,6,1,0,3.583518938,1.791759469,2.944438979
0,1,0,0,0,0,35,1,1,1,0,5,0,1,22,11,21,26,26,14,15,14,20,8,5,10,7,18,1,0,3.555348061,1.791759469,2.708050201
0,1,0,0,0,0,33,0,0,0,0,25,0,1,17,15,18,18,37,25,13,12,22,21,5,22,4,12,0,0,3.496507561,3.258096538,2.564949357
0,1,0,0,0,0,35,0,0,0,0,0,0,0,31,24,30,26,26,18,13,6,12,11,5,9,2,6,1,0,3.555348061,0,2.564949357
0,1,0,0,0,0,55,0,0,1,1,5,0,1,19,18,20,16,30,29,19,16,20,16,9,22,9,16,0,0,4.007333185,1.791759469,2.944438979
0,0,0,1,0,0,28,0,0,0,1,5,0,0,19,18,29,21,30,17,17,15,17,14,3,15,9,16,1,0,3.33220451,1.791759469,2.833213344
1,0,0,1,0,1,41,0,1,0,0,5,0,1,27,16,28,25,21,26,16,6,18,16,2,18,2,6,0,0,3.713572067,1.791759469,2.772588722
1,1,0,0,0,1,35,0,0,0,0,5,0,1,17,23,29,10,32,14,34,13,22,14,6,18,7,18,1,0,3.555348061,1.791759469,3.526360525
1,1,0,0,0,1,44,1,0,0,1,5,1,1,31,9,32,26,18,15,20,12,18,17,10,21,10,13,0,0,3.784189634,1.791759469,2.995732274
1,0,1,0,0,1,44,1,1,1,1,10,0,0,29,22,20,17,32,10,25,24,20,19,7,15,11,24,1,1,3.784189634,2.397895273,3.218875825
1,0,1,0,0,0,43,0,0,0,0,5,0,1,30,14,24,11,17,32,29,9,13,19,9,13,7,6,1,0,3.761200116,1.791759469,3.36729583
1,0,0,0,1,1,28,1,1,1,1,60,0,1,13,10,24,11,34,24,19,16,18,17,5,22,6,17,0,0,3.33220451,4.110873864,2.944438979
0,0,0,1,0,0,33,0,0,1,0,10,0,1,12,10,20,14,40,10,13,24,23,17,11,23,14,24,0,0,3.496507561,2.397895273,2.564949357
